FirstName,MiddleName,LastName,Alias,NetWorth,Age,Role,Cid,Sid,Pid
Tod,,Coulsen,,$916734.96,25,Cabin Boy,16,238,1
Quill,,Duckerin,Bloodshot Jack,$844372.35,33,Navigator,37,148,2
Lesya,,Claris,,$697510.94,59,Captain,91,14,3
Alissa,Amanda,Pinnigar,Stormcaller Flint,$130769.44,20,Quartermaster,63,78,4
Tracee,,Greedier,,$798605.86,42,Quartermaster,46,278,5
Shurwood,,Merrell,,$217087.20,37,Cabin Boy,97,305,6
Lanni,Sarah,MacWhirter,Captain Ironfang,$327341.35,69,Captain,21,367,7
Briana,,Lukash,,$723443.24,11,Navigator,66,336,8
Minetta,,McVrone,,$248622.71,12,Cabin Boy,72,439,9
Linnet,Amanda,Aveson,,$409514.62,23,Navigator,8,50,10
Suzie,,Keyes,Bloody Marrow,$771987.75,17,Cabin Boy,86,194,11
Ruddy,Ashley,Siderfin,,$520390.68,25,First Mate,5,223,12
Chris,,Shyre,,$192680.21,24,Cabin Boy,55,136,13
Worden,,Goskar,,$614587.09,69,Navigator,93,408,14
Alexine,,Yukhnov,,$205361.81,79,Boatswain,32,298,15
Giuseppe,,Lehrahan,Skulldust Raven,$287471.39,14,Boatswain,34,304,16
Veronica,,Harvie,,$883970.62,66,Navigator,7,436,17
Alvera,Melissa,Ibberson,,$601205.21,13,Cabin Boy,1,162,18
Leigh,,Gwatkins,,$286554.62,61,Boatswain,28,224,19
Sansone,,Brame,,$225105.95,79,Gunner,82,120,20
Kassey,Joseph,Romayn,Frostbite Frank,$402235.12,21,Cabin Boy,80,411,21
Shirley,,Coote,,$231424.11,79,Captain,87,64,22
Amandy,,Gayther,,$407080.41,80,Navigator,4,404,23
Petra,,Bostock,,$634618.96,52,Quartermaster,43,72,24
Lonnard,,Putman,Iron Gale,$636531.74,30,Gunner,51,443,25
Liz,,Belitz,,$800129.62,61,Quartermaster,75,418,26
Teodorico,,Algar,,$561772.18,53,Boatswain,77,337,27
Melisandra,,Dmitriev,,$876795.98,19,Navigator,31,75,28
Francois,,Liles,,$424908.26,79,Gunner,3,142,29
Ines,,Warsop,,$165835.48,18,Gunner,16,25,30
Nikola,,Maffia,,$161235.47,13,Captain,48,327,31
Courtenay,Matthew,Guyton,The Black Widow,$222338.10,59,Cabin Boy,60,129,32
Petey,,Le Prevost,Bloody Buccaneer Bill,$666553.43,48,Navigator,80,5,33
Esther,Michael,Santos,Silent Tide Sam,$359278.17,26,Boatswain,40,396,34
Gottfried,,Kingston,,$621341.87,73,Captain,7,84,35
Cherye,Matthew,Gathercole,,$443761.26,62,Quartermaster,97,342,36
Lindie,,Beekmann,,$115154.96,30,Captain,71,180,37
Terrance,James,Rogister,,$75401.79,77,Quartermaster,46,55,38
Olenka,,Faccini,,$368299.13,80,Cabin Boy,56,489,39
Indira,,Vinck,,$330293.37,70,Quartermaster,98,313,40
Farlee,,Dumini,,$932496.88,21,Gunner,38,166,41
Modesty,,McDonough,Flamefang Fred,$144148.90,32,First Mate,39,485,42
Emlynne,,Quarrington,,$566202.31,13,Gunner,90,423,43
Armando,,Corsham,Darkheart Dash,$137749.35,75,Gunner,30,220,44
Gail,Nicole,Cockle,Wraith Walker Wayne,$63833.84,25,Cabin Boy,66,351,45
Beverlie,Christopher,Oates,Storm Seeker Shawn,$594966.22,29,Gunner,1,348,46
Luelle,,Adamovsky,Night’s Embrace Nessa,$746137.66,38,Quartermaster,65,425,47
Pete,David,Grisdale,,$755357.32,27,Cabin Boy,90,344,48
Chrotoem,,Cattlow,,$914499.11,38,Navigator,35,20,49
Tracy,Matthew,Tatters,Iron Warden West,$501406.20,80,Cabin Boy,27,341,50
